gpa iq gender concept
17.94 111 "M" 67
8.292 107 "M" 43
4.643 100 "M" 52
7.47 107 "M" 66
8.882 114 "F" 58
7.585 115 "M" 51
7.65 111 "M" 71
2.412 97 "M" 51
6 100 "F" 49
8.833 112 "M" 51
7.47 104 "F" 35
5.528 89 "F" 54
7.167 104 "M" 54
7.571 102 "F" 64
4.7 91 "F" 56
8.167 114 "F" 69
7.822 114 "F" 55
7.598 103 "F" 65
4 106 "M" 40
6.231 105 "F" 66
7.643 113 "M" 55
1.76 109 "M" 20
6.419 108 "F" 56
9.648 113 "M" 68
10.7 130 "F" 69
10.58 128 "M" 70
9.429 128 "M" 80
8 118 "M" 53
9.585 113 "M" 65
9.571 120 "F" 67
8.998 132 "F" 62
8.333 111 "F" 39
8.175 124 "M" 71
8 127 "M" 59
9.333 128 "F" 60
9.5 136 "M" 64
9.167 106 "M" 71
10.14 118 "F" 72
9.999 119 "F" 54
10.76 123 "M" 64
9.763 124 "M" 58
9.41 126 "M" 70
9.167 116 "M" 72
9.348 127 "M" 70
8.167 119 "M" 47
3.647 97 "M" 52
3.408 86 "F" 46
3.936 102 "M" 66
7.167 110 "M" 67
7.647 120 "M" 63
0.53 103 "M" 53
6.173 115 "M" 67
7.295 93 "M" 61
7.295 72 "F" 54
8.938 111 "F" 60
7.882 103 "F" 60
8.353 123 "M" 63
5.062 795 "M" 30
8.175 119 "M" 54
8.235 110 "M" 66
7.588 110 "M" 44
7.647 107 "M" 49
5.237 74 "F" 44
7.825 105 "M" 67
7.333 112 "F" 64
9.167 105 "M" 73
7.996 110 "M" 59
8.714 107 "F" 37
7.833 103 "F" 63
4.885 77 "M" 36
7.998 98 "F" 64
3.82 90 "M" 42
5.936 96 "F" 28
9 112 "F" 60
9.5 112 "F" 70
6.057 114 "M" 51
6.057 93 "F" 21
6.938 106 "M" 56
